name,desc,info,score
一次别离,只有有信仰的人才能说出事实真相。,导演: 阿斯哈·法哈蒂  Asghar Farhadi   主演: 佩曼·莫阿迪 Peyman Moadi /...,8.7
撞车,天使与魔鬼的冲撞。,导演: 保罗·哈吉斯 Paul Haggis   主演: 桑德拉·布洛克 Sandra Bullock / ...,8.6
未麻的部屋,好的剧本是，就算你猜到了结局也猜不到全部。,导演: 今敏 Satoshi Kon   主演: 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,8.8
怦然心动,真正的幸福是来自内心深处。,导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...,8.9
十二怒汉,1957年的理想主义。 ,导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,9.4
搏击俱乐部,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...,9.0
大卫·戈尔的一生,捍卫人权只是信仰，一点不妨碍其行为的残忍。,导演: Alan Parker   主演: 凯文·史派西 Kevin Spacey / 凯特·温丝莱特 Kat...,8.6
遗愿清单,用剩余不多的时间，去燃烧整个生命。,导演: 罗伯·莱纳 Rob Reiner   主演: 杰克·尼科尔森 Jack Nicholson / 摩根...,8.5
我爱你,你要相信，这世上真的有爱存在，不管在什么年纪 ,导演: 秋昌民 Chang-min Choo   主演: 宋在河 Jae-ho Song / 李顺载 Soon-jae...,9.0
千钧一发,一部能引人思考的科幻励志片。,导演: 安德鲁·尼科尔 Andrew Niccol   主演: 伊桑·霍克 Ethan Hawke / 乌玛...,8.7
荒岛余生,一个人的独角戏。,导演: 罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks / ...,8.5
爱·回家,献给所有外婆的电影。,导演: 李廷香 Jeong-hyang Lee   主演: 金艺芬 Eul-boon Kim / 俞承豪 Seung-...,9.0
黑鹰坠落,还原真实而残酷的战争。,导演: 雷德利·斯科特 Ridley Scott   主演: 乔什·哈奈特 Josh Hartnett / ...,8.5
麦兜故事,麦兜是一只很哲学的猪。 ,导演: 袁建滔 Toe Yuen   主演: 李晋纬 / 林海峰 Jan Lamb / 吴君如 Sandra Ng,8.5
入殓师,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / ...,8.8
断背山,每个人心中都有一座断背山。,导演: 李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,8.6
一一,我们都曾经是一一。,导演: 杨德昌 Edward Yang   主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,8.9
告白,没有一人完全善，也没有一人完全恶。,导演: 中岛哲也 Tetsuya Nakashima   主演: 松隆子 Takako Matsu / 冈田将生 ...,8.7
